sp_id,x_rd,y_rd,square,population,total_deliveries,total_pickups,sp_id_int,nodes_covered,avg_distance_m,opened,manager_sp_id,capacity,closed_cost,base_deliveries,base_pickups
753.0,75319.0,28665.0,E1775N3155,6780.0,0.0,0.0,753,638,7527.468707873162,False,931,0,0.0,0.0,0.0
3343.0,36589.0,60425.0,E1750N3190,3446.0,0.0,0.0,3343,321,14261.169343093416,False,3513,0,0.0,0.0,0.0
1934.0,48959.0,42794.0,E1755N3170,2803.0,18600.0,20269.0,1934,199,4849.414921692884,True,1934,144,0.0,18600.0,20269.0
5820.0,98158.0,61912.0,E1790N3190,13760.0,0.0,0.0,5820,1022,19846.658740235864,False,1204,0,0.0,0.0,0.0
4356.0,13591.0,30750.0,E1730N3155,1852.0,0.0,0.0,4356,160,9685.693154733974,False,1379,0,0.0,0.0,0.0
1739.0,34610.0,41049.0,E1745N3170,5656.0,34233.0,37586.0,1739,173,4300.687335130789,True,1739,296,0.0,34233.0,37586.0
7859.0,70101.0,64002.0,E1770N3195,5159.0,0.0,0.0,7859,431,11149.711104220398,False,4431,0,0.0,0.0,0.0
2155.0,88897.0,44412.0,E1785N3170,4242.0,0.0,0.0,2155,253,4752.419198635096,False,7229,0,0.0,0.0,0.0
5706.0,21384.0,61315.0,E1735N3190,4030.0,21856.0,31226.0,5706,158,4024.749549216517,True,5706,233,0.0,21856.0,31226.0
3513.0,30029.0,62343.0,E1745N3190,2858.0,46726.0,18877.0,3513,90,3782.3206022147515,True,3513,159,0.0,46726.0,18877.0
4431.0,66641.0,48763.0,E1770N3175,4352.0,66615.0,35116.0,4431,209,5049.357228177893,True,4431,268,0.0,66615.0,35116.0
1204.0,98488.0,36059.0,E1790N3165,2852.0,65197.0,21512.0,1204,124,3631.9359965391923,True,1204,161,0.0,65197.0,21512.0
718.0,88859.0,27856.0,E1785N3155,3047.0,0.0,0.0,718,153,4247.766465588241,False,931,0,0.0,0.0,0.0
657.0,130503.0,26682.0,E1815N3155,3439.0,0.0,0.0,657,212,10059.210966409608,False,1204,0,0.0,0.0,0.0
4387.0,55134.0,39885.0,E1760N3165,4027.0,21328.0,22058.0,4387,294,6149.1204570641285,True,4387,185,0.0,21328.0,22058.0
2075.0,15688.0,43812.0,E1735N3170,4518.0,23426.0,30609.0,2075,164,4603.5539799929475,True,2075,233,0.0,23426.0,30609.0
931.0,92296.0,31377.0,E1785N3160,1953.0,347326.0,11735.0,931,118,3255.7804677959325,True,931,105,0.0,347326.0,11735.0
417.0,92729.0,20245.0,E1785N3145,2808.0,34004.0,20937.0,417,128,3726.172037059546,True,417,160,0.0,34004.0,20937.0
284.0,96849.0,8765.0,E1790N3135,2213.0,0.0,0.0,284,185,7467.158980762441,False,417,0,0.0,0.0,0.0
6765.0,31727.0,7123.0,E1815N3155,374.0,0.0,0.0,6765,148,8074.535036190206,False,1739,0,0.0,0.0,0.0
3921.0,55859.0,76557.0,E1760N3205,1643.0,0.0,0.0,3921,81,4671.188416165988,False,5499,0,0.0,0.0,0.0
7229.0,77346.0,46242.0,E1775N3175,10276.0,59253.0,46497.0,7229,485,7050.629647441634,True,7229,388,0.0,59253.0,46497.0
4354.0,16694.0,48418.0,E1735N3175,2408.0,14099.0,17250.0,4354,75,5693.196981911796,True,4354,126,0.0,14099.0,17250.0
8282.0,35103.0,48521.0,E1745N3175,6101.0,26995.0,32602.0,8282,370,4926.1108268975095,True,8282,299,0.0,26995.0,32602.0
2096.0,101802.0,43913.0,E1795N3170,1530.0,0.0,0.0,2096,230,8091.084429346199,False,1204,0,0.0,0.0,0.0
1176.0,89379.0,35705.0,E1785N3160,2984.0,0.0,0.0,1176,127,4211.285874775314,False,931,0,0.0,0.0,0.0
7422.0,11011.0,52533.0,E1730N3180,186.0,0.0,0.0,7422,66,3305.6169640023368,False,4354,0,0.0,0.0,0.0
4987.0,67529.0,44080.0,E1770N3170,5682.0,21907.0,32378.0,4987,284,4517.567368258934,True,4987,263,0.0,21907.0,32378.0
5499.0,51393.0,53765.0,E1760N3180,3707.0,69105.0,21158.0,5499,190,3112.000572801312,True,5499,177,0.0,69105.0,21158.0
1258.0,40638.0,36647.0,E1750N3165,1379.0,0.0,0.0,1258,83,7111.993325072014,False,1739,0,0.0,0.0,0.0
4440.0,44786.0,44728.0,E1755N3170,5723.0,22661.0,43664.0,4440,191,3470.154510795787,True,4440,325,0.0,22661.0,43664.0
3155.0,55249.0,58005.0,E1760N3185,2732.0,0.0,0.0,3155,287,5933.36422548081,False,5499,0,0.0,0.0,0.0
1026.0,56978.0,33310.0,E1760N3160,1863.0,6308.0,10091.0,1026,140,10174.06970462987,True,1026,93,0.0,6308.0,10091.0
6908.0,15641.0,62479.0,E1735N3190,2496.0,11399.0,23321.0,6908,96,3970.1351352266447,True,6908,161,0.0,11399.0,23321.0
1379.0,16515.0,38001.0,E1735N3165,5327.0,46030.0,39366.0,1379,213,4508.567555112773,True,1379,293,0.0,46030.0,39366.0
