sp_id,pred_apl,pred_pickup,pred_delivery
1026,1.8,0.15999999999999998,0.03999999999999998
1204,1.8,0.15999999999999998,0.03999999999999998
1258,1.8,0.15999999999999998,0.03999999999999998
1379,1.8,0.15999999999999998,0.03999999999999998
1739,1.8,0.15999999999999998,0.03999999999999998
1934,3.6,0.31999999999999995,0.07999999999999996
2075,1.8,0.15999999999999998,0.03999999999999998
2096,1.8,0.15999999999999998,0.03999999999999998
2155,1.8,0.15999999999999998,0.03999999999999998
284,1.8,0.15999999999999998,0.03999999999999998
3155,1.8,0.15999999999999998,0.03999999999999998
3343,1.8,0.15999999999999998,0.03999999999999998
3513,1.8,0.15999999999999998,0.03999999999999998
3921,1.8,0.15999999999999998,0.03999999999999998
417,1.8,0.15999999999999998,0.03999999999999998
4354,1.8,0.15999999999999998,0.03999999999999998
4356,1.8,0.15999999999999998,0.03999999999999998
4387,1.8,0.15999999999999998,0.03999999999999998
4431,1.8,0.15999999999999998,0.03999999999999998
4987,1.8,0.15999999999999998,0.03999999999999998
5499,1.8,0.15999999999999998,0.03999999999999998
5706,3.6,0.31999999999999995,0.07999999999999996
5820,1.8,0.15999999999999998,0.03999999999999998
657,1.8,0.15999999999999998,0.03999999999999998
6765,1.8,0.15999999999999998,0.03999999999999998
718,1.8,0.15999999999999998,0.03999999999999998
7229,1.8,0.15999999999999998,0.03999999999999998
7422,1.8,0.15999999999999998,0.03999999999999998
753,1.8,0.15999999999999998,0.03999999999999998
7859,1.8,0.15999999999999998,0.03999999999999998
8282,1.8,0.15999999999999998,0.03999999999999998
931,3.6,0.31999999999999995,0.07999999999999996
